CONTENT TEAM Information  for NBA GENERIC Media Delivery,,SYNC COMPLETE,NO ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Loop Out Frame,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,22_MEM_NOP,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,23_SAS_PHI,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,23_SAS_PHI,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,23_SAS_PHI,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,24_LAL_UTA,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,24_LAL_UTA,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,-,,,,,240_NBA_TTC_1A,24_LAL_UTA,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
241_NBA_TTC_1B,00_UTA_NOP,004_NOP_WINS_RIB_F_v02.mov,2,,2,241,004,010,RIB_F,10s,,-,,,,,241_NBA_TTC_1B,00_UTA_NOP,\241_NBA_TTC_1B\00_UTA_NOP\004_NOP_WINS_RIB_F_v02.mov,-,nclc,nclc,10010,373658865,9504,144,66.000,CFR,29.970,467544198,-,-,-,-,-,-,-,-
,,007_TAP_TO_CHEER_CRN_v02.mov,2,,,241,007,014,CRN,10s,,-,,,,7/21/2020 9:28:13,241_NBA_TTC_1B,00_UTA_NOP,\241_NBA_TTC_1B\00_UTA_NOP\007_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
,01_LAC_LAL,014_LAL_WINS_RIB_F_v02.mov,2,,,241,014,010,RIB_F,10s,,-,,,,7/23/2020 8:23:23,241_NBA_TTC_1B,01_LAC_LAL,\241_NBA_TTC_1B\01_LAC_LAL\014_LAL_WINS_RIB_F_v02.mov,-,nclc,nclc,10010,333432265,9504,144,66.000,CFR,29.970,417210615,-,-,-,-,-,-,-,-
,,017_TAP_TO_CHEER_CRN_v02.mov,2,,,241,017,014,CRN,10s,,-,,,,7/21/2020 9:28:31,241_NBA_TTC_1B,01_LAC_LAL,\241_NBA_TTC_1B\01_LAC_LAL\017_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
,02_ORL_BKN,024_BKN_WINS_RIB_F_v02.mov,2,,,241,024,010,RIB_F,10s,,-,,,,7/23/2020 8:25:04,241_NBA_TTC_1B,02_ORL_BKN,\241_NBA_TTC_1B\02_ORL_BKN\024_BKN_WINS_RIB_F_v02.mov,-,nclc,nclc,10010,299109521,9504,144,66.000,CFR,29.970,374264238,-,-,-,-,-,-,-,-
,,027_TAP_TO_CHEER_CRN_v02.mov,2,,,241,027,014,CRN,10s,,-,,,,7/21/2020 9:28:22,241_NBA_TTC_1B,02_ORL_BKN,\241_NBA_TTC_1B\02_ORL_BKN\027_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
,03_MEM_POR,034_POR_WINS_RIB_F_v01.mov,1,,,241,034,010,RIB_F,10s,,-,,,,,241_NBA_TTC_1B,03_MEM_POR,\241_NBA_TTC_1B\03_MEM_POR\034_POR_WINS_RIB_F_v01.mov,-,nclc,nclc,10010,297415031,9504,144,66.000,CFR,29.970,372144006,-,-,-,-,-,-,-,-
,,037_TAP_TO_CHEER_CRN_v02.mov,2,,,241,037,014,CRN,10s,,-,,,,7/21/2020 9:28:31,241_NBA_TTC_1B,03_MEM_POR,\241_NBA_TTC_1B\03_MEM_POR\037_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
,04_PHX_WAS,044_WAS_WINS_RIB_F_v01.mov,1,,,241,044,010,RIB_F,10s,,-,,,,,241_NBA_TTC_1B,04_PHX_WAS,\241_NBA_TTC_1B\04_PHX_WAS\044_WAS_WINS_RIB_F_v01.mov,-,nclc,nclc,10010,329605541,9504,144,66.000,CFR,29.970,412422421,-,-,-,-,-,-,-,-
,,047_TAP_TO_CHEER_CRN_v02.mov,2,,,241,047,014,CRN,10s,,-,,,,7/21/2020 9:28:26,241_NBA_TTC_1B,04_PHX_WAS,\241_NBA_TTC_1B\04_PHX_WAS\047_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
,05_BOS_MIL,054_MIL_WINS_RIB_F_v01.mov,1,,,241,054,010,RIB_F,10s,,-,,,,7/21/2020 9:28:22,241_NBA_TTC_1B,05_BOS_MIL,\241_NBA_TTC_1B\05_BOS_MIL\054_MIL_WINS_RIB_F_v01.mov,-,nclc,nclc,10010,325341342,9504,144,66.000,CFR,29.970,407086837,-,-,-,-,-,-,-,-
,,057_TAP_TO_CHEER_CRN_v02.mov,2,,,241,057,014,CRN,10s,,-,,,,7/21/2020 9:28:23,241_NBA_TTC_1B,05_BOS_MIL,\241_NBA_TTC_1B\05_BOS_MIL\057_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
,06_SAC_SAS,064_SAS_WINS_RIB_F_v01.mov,1,,,241,064,010,RIB_F,10s,,-,,,,7/21/2020 9:28:23,241_NBA_TTC_1B,06_SAC_SAS,\241_NBA_TTC_1B\06_SAC_SAS\064_SAS_WINS_RIB_F_v01.mov,-,nclc,nclc,10010,280045001,9504,144,66.000,CFR,29.970,350409734,-,-,-,-,-,-,-,-
,,067_TAP_TO_CHEER_CRN_v02.mov,2,,,241,067,014,CRN,10s,,-,,,,7/21/2020 9:28:33,241_NBA_TTC_1B,06_SAC_SAS,\241_NBA_TTC_1B\06_SAC_SAS\067_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
