OKLAHOMA CITY THUNDER Media Delivery,,SYNC ACTIVE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version, Content Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Kerstin Notes,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,19_WhatASlam_Glitchy,191_WhatASlam_Glitchy_AUD_F_v01.mov,1,,1,130,191,001,AUD_F,2.03s,,-,41,,,,130_OKC_PCC,19_WhatASlam_Glitchy,\130_OKC_PCC\19_WhatASlam_Glitchy\191_WhatASlam_Glitchy_AUD_F_v01.mov,-,nclc,nclc,2036,1850540099,10160,1600,6.350,CFR,29.970,471355559,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,194_WhatASlam_Glitchy_RIB_F_v02.mov,1,,1,130,194,010,RIB_F,2.03s,,-,41,,,,130_OKC_PCC,19_WhatASlam_Glitchy,\130_OKC_PCC\19_WhatASlam_Glitchy\194_WhatASlam_Glitchy_RIB_F_v02.mov,-,nclc,nclc,2036,199079115,9504,144,66.000,CFR,29.970,51372321,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,198_WhatASlam_Glitchy_SCB_v01.mov,1,,1,130,198,017,SCB,2.03s,,-,41,,,,130_OKC_PCC,19_WhatASlam_Glitchy,\130_OKC_PCC\19_WhatASlam_Glitchy\198_WhatASlam_Glitchy_SCB_v01.mov,-,nclc,nclc,2036,333109530,1920,1080,1.778,CFR,29.970,85234125,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,20_Defense_Wave,200_Defense_Waveform_AUDIO_v02.mov,2,Wrong Audio Sample Rate -CD,2,130,200,024,AUDIO,3.5s,,-A,47,,,,130_OKC_PCC,20_Defense_Wave,\130_OKC_PCC\20_Defense_Wave\200_Defense_Waveform_AUDIO_v02.mov,-A,nclc,nclc,3504,83998,16,16,1.000,CFR,29.970,715316,PCM,Little / Signed,sowt,3504,2,L R,44100,16
,,201_Defense_Waveform_AUD_F_v02.mov,2,,2,130,201,001,AUD_F,3.5s,,-,47,,,,130_OKC_PCC,20_Defense_Wave,\130_OKC_PCC\20_Defense_Wave\201_Defense_Waveform_AUD_F_v02.mov,-,nclc,nclc,3504,1719280144,10160,1600,6.350,CFR,29.970,753674707,PCM,Little / Signed,sowt,3504,2,L R,44100,16
,,204_Defense_Waveform_RIB_F_v03.mov,2,,2,130,204,010,RIB_F,27.97s,,-,47,,,,130_OKC_PCC,20_Defense_Wave,\130_OKC_PCC\20_Defense_Wave\204_Defense_Waveform_RIB_F_v03.mov,-,nclc,nclc,27995,151491853,9504,144,66.000,CFR,29.970,535116606,PCM,Little / Signed,sowt,27995,2,L R,44100,16
,,208_Defense_Waveform_SCB_v02.mov,2,,2,130,208,017,SCB,3.5s,,-,47,,,,130_OKC_PCC,20_Defense_Wave,\130_OKC_PCC\20_Defense_Wave\208_Defense_Waveform_SCB_v02.mov,-,nclc,nclc,3504,185368866,1920,1080,1.778,CFR,29.970,81869551,PCM,Little / Signed,sowt,3504,2,L R,44100,16
,21_LGT_Grunge,210_LGT_Grunge_AUDIO_v01.mov,1,Wrong Audio Sample Rate -CD,1,130,210,024,AUDIO,3.97s,,-A,37,,,,130_OKC_PCC,21_LGT_Grunge,\130_OKC_PCC\21_LGT_Grunge\210_LGT_Grunge_AUDIO_v01.mov,-A,nclc,nclc,3971,78819,16,16,1.000,CFR,29.970,1000782,PCM,Little / Signed,sowt,3971,2,L R,44100,16
,,211_LGT_Grunge_AUD_F_v01.mov,1,,1,130,211,001,AUD_F,3.97s,,-,37,,,,130_OKC_PCC,21_LGT_Grunge,\130_OKC_PCC\21_LGT_Grunge\211_LGT_Grunge_AUD_F_v01.mov,-,nclc,nclc,3971,3287288945,10160,1600,6.350,CFR,29.970,1632774978,PCM,Little / Signed,sowt,3971,2,L R,44100,16
,,214_LGT_Grunge_RIB_F_v02.mov,1,,1,130,214,010,RIB_F,27.73s,,-,37,,,,130_OKC_PCC,21_LGT_Grunge,\130_OKC_PCC\21_LGT_Grunge\214_LGT_Grunge_RIB_F_v02.mov,-,nclc,nclc,27762,252860030,9504,144,66.000,CFR,29.970,882413605,PCM,Little / Signed,sowt,27762,2,L R,44100,16
